project,system,basis,00,02a,02b,03,03_no_fci,04
g2_dfunc_projection_5z,CH4O,avqz,2531,N/A,N/A,20792,10832.00,941.72
g2_dfunc_projection_5z,CH4O,avtz,645,N/A,N/A,2140,1377.00,89.85
g2_dfunc_projection_5z,CH4O,pvdz,736,N/A,N/A,312,308.37,15.99
g2_dfunc_projection_5z,CH4O,pvqz,1458,N/A,N/A,9135,4455.00,371.25
g2_dfunc_projection_5z,CH4O,pvtz,763,N/A,N/A,3466,2045.00,174.44
g2_dfunc_projection_5z,CH4S,avdz,387,N/A,N/A,959,887.00,26.46
g2_dfunc_projection_5z,CHO,avdz,38,N/A,N/A,152,129.30,34.57
g2_dfunc_projection_5z,CHO,avqz,292,N/A,N/A,6872,1832.00,619.61
g2_dfunc_projection_5z,CHO,avtz,43,N/A,N/A,998,534.00,146.72
g2_dfunc_projection_5z,CHO,pvdz,104,N/A,N/A,114,110.95,27.79
g2_dfunc_projection_5z,CHO,pvqz,121,N/A,N/A,3047,823.00,233.92
g2_dfunc_projection_5z,CHO,pvtz,71,N/A,N/A,731,394.00,64.02
g2_dfunc_projection_5z,CN,avdz,10,N/A,N/A,95,84.40,28.60
g2_dfunc_projection_5z,CN,avqz,68,N/A,N/A,3012,960.00,244.58
g2_dfunc_projection_5z,CN,avtz,19,N/A,N/A,382,191.00,62.64
g2_dfunc_projection_5z,CN,pvdz,59,N/A,N/A,86,81.77,30.69
g2_dfunc_projection_5z,CN,pvqz,53,N/A,N/A,1236,461.00,89.92
g2_dfunc_projection_5z,CN,pvtz,25,N/A,N/A,231,168.00,36.98
g2_dfunc_projection_5z,CNH,avdz,23,N/A,N/A,134,128.52,15.14
g2_dfunc_projection_5z,CNH,avqz,286,N/A,N/A,2447,1185.00,141.00
g2_dfunc_projection_5z,CNH,avtz,42,N/A,N/A,465,352.00,20.98
g2_dfunc_projection_5z,CNH,pvdz,150,N/A,N/A,130,127.96,16.49
g2_dfunc_projection_5z,CNH,pvqz,120,N/A,N/A,1967,1182.00,51.93
g2_dfunc_projection_5z,CNH,pvtz,71,N/A,N/A,442,359.00,22.47
g2_dfunc_projection_5z,CO,avdz,10,N/A,N/A,95,89.29,13.89
g2_dfunc_projection_5z,CO,avqz,70,N/A,N/A,1013,562.00,71.71
g2_dfunc_projection_5z,CO,avtz,18,N/A,N/A,309,257.50,18.26
g2_dfunc_projection_5z,CO,pvdz,41,N/A,N/A,70,69.67,17.13
g2_dfunc_projection_5z,CO,pvqz,51,N/A,N/A,583,387.00,25.26
g2_dfunc_projection_5z,CO,pvtz,25,N/A,N/A,182,166.10,15.33
g2_dfunc_projection_5z,CO2,avdz,49,N/A,N/A,277,264.20,21.92
g2_dfunc_projection_5z,CO2,avqz,474,N/A,N/A,4365,2131.00,443.71
g2_dfunc_projection_5z,CO2,avtz,85,N/A,N/A,1259,1022.00,59.97
g2_dfunc_projection_5z,CO2,pvdz,207,N/A,N/A,206,204.37,15.24
g2_dfunc_projection_5z,CO2,pvqz,214,N/A,N/A,2189,1225.00,164.57
g2_dfunc_projection_5z,CO2,pvtz,115,N/A,N/A,636,558.00,34.48
g2_dfunc_projection_5z,CS,avdz,24,N/A,N/A,177,168.90,14.95
g2_dfunc_projection_5z,Cl,avdz,4,N/A,N/A,47,44.03,25.18
g2_dfunc_projection_5z,Cl2,avdz,24,N/A,N/A,208,196.00,17.47
g2_dfunc_projection_5z,F,avdz,2,N/A,N/A,19,18.37,23.44
g2_dfunc_projection_5z,F,avqz,5,N/A,N/A,162,50.00,34.60
g2_dfunc_projection_5z,F,avtz,2,N/A,N/A,43,30.70,48.12
g2_dfunc_projection_5z,F,pvdz,3,N/A,N/A,17,16.92,22.91
g2_dfunc_projection_5z,F,pvqz,6,N/A,N/A,99,51.40,27.36
g2_dfunc_projection_5z,F,pvtz,3,N/A,N/A,38,34.01,24.25
g2_dfunc_projection_5z,F2,avdz,17,N/A,N/A,77,74.36,15.57
g2_dfunc_projection_5z,F2,avqz,87,N/A,N/A,993,543.00,141.36
g2_dfunc_projection_5z,F2,avtz,18,N/A,N/A,182,135.80,29.63
g2_dfunc_projection_5z,F2,pvdz,43,N/A,N/A,66,65.67,17.40
g2_dfunc_projection_5z,F2,pvqz,49,N/A,N/A,540,348.00,42.09
g2_dfunc_projection_5z,F2,pvtz,26,N/A,N/A,171,155.10,18.74
g2_dfunc_projection_5z,FCl,avdz,23,N/A,N/A,171,162.57,16.03
g2_dfunc_projection_5z,H,avdz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,H,avqz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,H,avtz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,H,pvdz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,H,pvqz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,H,pvtz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,H2O,avdz,11,N/A,N/A,63,61.23,13.46
g2_dfunc_projection_5z,H2O,avqz,97,N/A,N/A,1233,630.00,57.39
g2_dfunc_projection_5z,H2O,avtz,22,N/A,N/A,271,218.00,25.17
g2_dfunc_projection_5z,H2O,pvdz,63,N/A,N/A,46,45.79,16.77
g2_dfunc_projection_5z,H2O,pvqz,70,N/A,N/A,695,400.00,34.16
g2_dfunc_projection_5z,H2O,pvtz,45,N/A,N/A,290,204.00,19.06
g2_dfunc_projection_5z,H2O2,avdz,51,N/A,N/A,194,183.70,18.96
g2_dfunc_projection_5z,H2O2,avqz,692,N/A,N/A,5514,2735.00,425.94
g2_dfunc_projection_5z,H2O2,avtz,119,N/A,N/A,1372,1102.00,61.41
g2_dfunc_projection_5z,H2O2,pvdz,309,N/A,N/A,134,132.77,16.41
g2_dfunc_projection_5z,H2O2,pvqz,392,N/A,N/A,3653,1941.00,177.89
g2_dfunc_projection_5z,H2O2,pvtz,184,N/A,N/A,955,679.00,73.79
g2_dfunc_projection_5z,H2S,avdz,28,N/A,N/A,131,125.39,13.82
g2_dfunc_projection_5z,HCl,avdz,10,N/A,N/A,79,76.64,13.07
g2_dfunc_projection_5z,HF,avdz,4,N/A,N/A,33,32.33,13.08
g2_dfunc_projection_5z,HF,avqz,41,N/A,N/A,391,222.00,37.04
g2_dfunc_projection_5z,HF,avtz,8,N/A,N/A,68,53.00,15.89
g2_dfunc_projection_5z,HF,pvdz,21,N/A,N/A,31,30.92,13.30
g2_dfunc_projection_5z,HF,pvqz,21,N/A,N/A,285,180.00,18.81
g2_dfunc_projection_5z,HF,pvtz,14,N/A,N/A,100,82.90,14.49
g2_dfunc_projection_5z,HO,avdz,7,N/A,N/A,35,32.40,24.29
g2_dfunc_projection_5z,HO,avqz,42,N/A,N/A,1014,318.00,90.02
g2_dfunc_projection_5z,HO,avtz,8,N/A,N/A,121,56.00,28.18
g2_dfunc_projection_5z,HO,pvdz,20,N/A,N/A,31,30.67,31.55
g2_dfunc_projection_5z,HO,pvqz,22,N/A,N/A,611,192.00,38.71
g2_dfunc_projection_5z,HO,pvtz,13,N/A,N/A,151,83.00,28.17
g2_dfunc_projection_5z,HOCl,avdz,54,N/A,N/A,312,287.00,20.91
g2_dfunc_projection_5z,Li,avdz,1,N/A,N/A,6,6.00,22.65
g2_dfunc_projection_5z,Li,avqz,5,N/A,N/A,37,36.78,22.56
g2_dfunc_projection_5z,Li,avtz,3,N/A,N/A,16,15.95,22.99
g2_dfunc_projection_5z,Li,pvdz,2,N/A,N/A,5,5.00,22.02
g2_dfunc_projection_5z,Li,pvqz,7,N/A,N/A,22,21.93,23.01
g2_dfunc_projection_5z,Li,pvtz,5,N/A,N/A,8,8.00,23.64
g2_dfunc_projection_5z,Li2,avdz,4,N/A,N/A,77,74.40,12.51
g2_dfunc_projection_5z,Li2,avqz,75,N/A,N/A,708,258.00,20.04
g2_dfunc_projection_5z,Li2,avtz,11,N/A,N/A,155,110.60,20.57
g2_dfunc_projection_5z,Li2,pvdz,14,N/A,N/A,67,66.92,12.86
g2_dfunc_projection_5z,Li2,pvqz,27,N/A,N/A,343,206.00,13.61
g2_dfunc_projection_5z,Li2,pvtz,10,N/A,N/A,156,147.32,12.49
g2_dfunc_projection_5z,LiF,avdz,7,N/A,N/A,117,114.36,17.38
g2_dfunc_projection_5z,LiF,avqz,91,N/A,N/A,1239,733.00,136.21
g2_dfunc_projection_5z,LiF,avtz,15,N/A,N/A,292,246.20,36.96
g2_dfunc_projection_5z,LiF,pvdz,36,N/A,N/A,120,119.81,17.79
g2_dfunc_projection_5z,LiF,pvqz,42,N/A,N/A,567,401.00,34.78
g2_dfunc_projection_5z,LiF,pvtz,19,N/A,N/A,216,203.50,14.43
g2_dfunc_projection_5z,LiH,avdz,3,N/A,N/A,37,36.34,12.34
g2_dfunc_projection_5z,LiH,avqz,25,N/A,N/A,366,183.00,17.79
