project,system,basis,00,02a,02b,03,03_no_fci,04
g2_extrap_largebasis_rhf,SiH2,avdz,4,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,SiH2_triplet,avdz,4,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,SiH3,avdz,8,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,SiH4,avdz,11,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,SiO,avdz,5,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,Be,avdz,1,N/A,N/A,25,24.84,11.70
g2_extrap_projection_5z,Be,avqz,5,N/A,N/A,60,32.70,12.80
g2_extrap_projection_5z,Be,avtz,2,N/A,N/A,28,24.73,18.12
g2_extrap_projection_5z,Be,pvdz,3,N/A,N/A,17,16.99,12.74
g2_extrap_projection_5z,Be,pvqz,9,N/A,N/A,49,40.28,12.63
g2_extrap_projection_5z,Be,pvtz,7,N/A,N/A,34,33.39,12.47
g2_extrap_projection_5z,BeH,avdz,4,N/A,N/A,39,37.01,23.26
g2_extrap_projection_5z,BeH,avqz,26,N/A,N/A,1014,484.00,39.09
g2_extrap_projection_5z,BeH,avtz,12,N/A,N/A,115,68.50,27.05
g2_extrap_projection_5z,BeH,pvdz,14,N/A,N/A,36,35.91,22.55
g2_extrap_projection_5z,BeH,pvqz,20,N/A,N/A,391,192.00,27.56
g2_extrap_projection_5z,BeH,pvtz,12,N/A,N/A,130,90.30,24.52
g2_extrap_projection_5z,C,avdz,3,N/A,N/A,21,20.54,24.62
g2_extrap_projection_5z,C,avqz,4,N/A,N/A,187,101.00,28.41
g2_extrap_projection_5z,C,avtz,2,N/A,N/A,44,35.24,25.77
g2_extrap_projection_5z,C,pvdz,3,N/A,N/A,17,16.94,22.38
g2_extrap_projection_5z,C,pvqz,6,N/A,N/A,96,60.50,24.88
g2_extrap_projection_5z,C,pvtz,3,N/A,N/A,39,36.04,24.72
g2_extrap_projection_5z,C2H2,avdz,49,N/A,N/A,188,178.10,15.92
g2_extrap_projection_5z,C2H2,avqz,434,N/A,N/A,5120,2379.00,199.25
g2_extrap_projection_5z,C2H2,avtz,96,N/A,N/A,826,596.00,32.49
g2_extrap_projection_5z,C2H2,pvdz,306,N/A,N/A,165,163.66,16.93
g2_extrap_projection_5z,C2H2,pvqz,293,N/A,N/A,3449,1750.00,82.70
g2_extrap_projection_5z,C2H2,pvtz,164,N/A,N/A,903,634.00,36.75
g2_extrap_projection_5z,C2H4,avdz,259,N/A,N/A,644,612.70,20.46
g2_extrap_projection_5z,C2H4,avqz,1712,N/A,N/A,19461,9921.00,500.22
g2_extrap_projection_5z,C2H4,avtz,553,N/A,N/A,2061,1312.00,68.78
g2_extrap_projection_5z,C2H4,pvdz,734,N/A,N/A,265,261.90,28.79
g2_extrap_projection_5z,C2H4,pvqz,1184,N/A,N/A,8509,3889.00,229.67
g2_extrap_projection_5z,C2H4,pvtz,675,N/A,N/A,3261,1864.00,110.05
g2_extrap_projection_5z,C2H6,avdz,402,N/A,N/A,746,686.00,33.46
g2_extrap_projection_5z,C2H6,avqz,6834,N/A,N/A,44217,19677.00,1946.00
g2_extrap_projection_5z,C2H6,avtz,1071,N/A,N/A,9349,7223.00,338.60
g2_extrap_projection_5z,C2H6,pvdz,1859,N/A,N/A,654,640.40,16.53
g2_extrap_projection_5z,C2H6,pvqz,4079,N/A,N/A,23968,11308.00,699.91
g2_extrap_projection_5z,C2H6,pvtz,1189,N/A,N/A,8481,4821.00,323.70
g2_extrap_projection_5z,CH,avdz,7,N/A,N/A,44,41.46,25.21
g2_extrap_projection_5z,CH,avqz,41,N/A,N/A,999,297.00,64.20
g2_extrap_projection_5z,CH,avtz,7,N/A,N/A,164,95.00,27.77
g2_extrap_projection_5z,CH,pvdz,14,N/A,N/A,29,28.69,31.57
g2_extrap_projection_5z,CH,pvqz,21,N/A,N/A,476,158.00,32.71
g2_extrap_projection_5z,CH,pvtz,12,N/A,N/A,158,90.00,27.91
g2_extrap_projection_5z,CH2,avdz,11,N/A,N/A,78,70.00,25.42
g2_extrap_projection_5z,CH2,avqz,96,N/A,N/A,3553,983.00,121.43
g2_extrap_projection_5z,CH2,avtz,22,N/A,N/A,467,248.00,49.81
g2_extrap_projection_5z,CH2,pvdz,45,N/A,N/A,54,53.08,28.35
g2_extrap_projection_5z,CH2,pvqz,70,N/A,N/A,1612,445.00,76.83
g2_extrap_projection_5z,CH2,pvtz,45,N/A,N/A,574,224.00,36.02
g2_extrap_projection_5z,CH2O,avdz,50,N/A,N/A,204,193.70,16.04
g2_extrap_projection_5z,CH2O,avqz,459,N/A,N/A,7988,4816.00,250.68
g2_extrap_projection_5z,CH2O,avtz,100,N/A,N/A,825,591.00,39.77
g2_extrap_projection_5z,CH2O,pvdz,311,N/A,N/A,139,137.81,16.97
g2_extrap_projection_5z,CH2O,pvqz,318,N/A,N/A,2628,1331.00,110.68
g2_extrap_projection_5z,CH2O,pvtz,169,N/A,N/A,934,669.00,53.00
g2_extrap_projection_5z,CH2_singlet,avdz,18,N/A,N/A,52,50.27,12.87
g2_extrap_projection_5z,CH2_singlet,avqz,144,N/A,N/A,1501,812.00,52.72
g2_extrap_projection_5z,CH2_singlet,avtz,22,N/A,N/A,175,128.50,16.54
g2_extrap_projection_5z,CH2_singlet,pvdz,63,N/A,N/A,46,45.79,12.97
g2_extrap_projection_5z,CH2_singlet,pvqz,70,N/A,N/A,694,407.00,26.73
g2_extrap_projection_5z,CH2_singlet,pvtz,44,N/A,N/A,314,227.00,16.36
g2_extrap_projection_5z,CH3,avdz,26,N/A,N/A,98,82.40,26.22
g2_extrap_projection_5z,CH3,avqz,250,N/A,N/A,10166,2906.00,266.44
g2_extrap_projection_5z,CH3,avtz,84,N/A,N/A,817,346.00,45.71
g2_extrap_projection_5z,CH3,pvdz,111,N/A,N/A,77,75.14,25.81
g2_extrap_projection_5z,CH3,pvqz,173,N/A,N/A,3993,863.00,116.59
g2_extrap_projection_5z,CH3,pvtz,115,N/A,N/A,1618,500.00,88.64
g2_extrap_projection_5z,CH3Cl,avdz,204,N/A,N/A,553,511.30,22.60
g2_extrap_projection_5z,CH4,avdz,56,N/A,N/A,127,119.11,15.10
g2_extrap_projection_5z,CH4,avqz,836,N/A,N/A,10206,6737.00,126.89
g2_extrap_projection_5z,CH4,avtz,136,N/A,N/A,1181,895.00,36.97
g2_extrap_projection_5z,CH4,pvdz,236,N/A,N/A,92,91.16,15.96
g2_extrap_projection_5z,CH4,pvqz,486,N/A,N/A,3378,1686.00,65.76
g2_extrap_projection_5z,CH4,pvtz,280,N/A,N/A,1636,936.00,43.75
g2_extrap_projection_5z,CH4O,avdz,158,N/A,N/A,562,533.10,25.21
g2_extrap_projection_5z,CH4O,avqz,2531,N/A,N/A,20792,10832.00,941.72
g2_extrap_projection_5z,CH4O,avtz,645,N/A,N/A,2140,1377.00,89.85
g2_extrap_projection_5z,CH4O,pvdz,736,N/A,N/A,312,308.37,15.99
g2_extrap_projection_5z,CH4O,pvqz,1458,N/A,N/A,9135,4455.00,371.25
g2_extrap_projection_5z,CH4O,pvtz,763,N/A,N/A,3466,2045.00,174.44
g2_extrap_projection_5z,CH4S,avdz,415,N/A,N/A,790,725.00,26.06
g2_extrap_projection_5z,CHO,avdz,38,N/A,N/A,152,129.30,34.57
g2_extrap_projection_5z,CHO,avqz,292,N/A,N/A,6872,1832.00,619.61
g2_extrap_projection_5z,CHO,avtz,43,N/A,N/A,998,534.00,146.72
g2_extrap_projection_5z,CHO,pvdz,104,N/A,N/A,114,110.95,27.79
g2_extrap_projection_5z,CHO,pvqz,121,N/A,N/A,3047,823.00,233.92
g2_extrap_projection_5z,CHO,pvtz,71,N/A,N/A,731,394.00,64.02
g2_extrap_projection_5z,CN,avdz,10,N/A,N/A,95,84.40,28.60
g2_extrap_projection_5z,CN,avqz,68,N/A,N/A,3012,960.00,244.58
g2_extrap_projection_5z,CN,avtz,19,N/A,N/A,382,191.00,62.64
g2_extrap_projection_5z,CN,pvdz,59,N/A,N/A,86,81.77,30.69
g2_extrap_projection_5z,CN,pvqz,53,N/A,N/A,1236,461.00,89.92
g2_extrap_projection_5z,CN,pvtz,25,N/A,N/A,231,168.00,36.98
g2_extrap_projection_5z,CNH,avdz,23,N/A,N/A,134,128.52,15.14
g2_extrap_projection_5z,CNH,avqz,286,N/A,N/A,2447,1185.00,141.00
g2_extrap_projection_5z,CNH,avtz,42,N/A,N/A,465,352.00,20.98
g2_extrap_projection_5z,CNH,pvdz,150,N/A,N/A,130,127.96,16.49
g2_extrap_projection_5z,CNH,pvqz,120,N/A,N/A,1967,1182.00,51.93
g2_extrap_projection_5z,CNH,pvtz,71,N/A,N/A,442,359.00,22.47
g2_extrap_projection_5z,CO,avdz,10,N/A,N/A,95,89.29,13.89
g2_extrap_projection_5z,CO,avqz,70,N/A,N/A,1013,562.00,71.71
g2_extrap_projection_5z,CO,avtz,18,N/A,N/A,309,257.50,18.26
g2_extrap_projection_5z,CO,pvdz,41,N/A,N/A,70,69.67,17.13
g2_extrap_projection_5z,CO,pvqz,51,N/A,N/A,583,387.00,25.26
g2_extrap_projection_5z,CO,pvtz,25,N/A,N/A,182,166.10,15.33
g2_extrap_projection_5z,CO2,avdz,49,N/A,N/A,277,264.20,21.92
g2_extrap_projection_5z,CO2,avqz,474,N/A,N/A,4365,2131.00,443.71
g2_extrap_projection_5z,CO2,avtz,85,N/A,N/A,1259,1022.00,59.97
g2_extrap_projection_5z,CO2,pvdz,207,N/A,N/A,206,204.37,15.24
g2_extrap_projection_5z,CO2,pvqz,214,N/A,N/A,2189,1225.00,164.57
g2_extrap_projection_5z,CO2,pvtz,115,N/A,N/A,636,558.00,34.48
g2_extrap_projection_5z,CS,avdz,23,N/A,N/A,193,185.96,15.51
g2_extrap_projection_5z,Cl,avdz,4,N/A,N/A,43,40.86,23.89
g2_extrap_projection_5z,Cl2,avdz,23,N/A,N/A,197,187.66,17.29
g2_extrap_projection_5z,F,avdz,2,N/A,N/A,19,18.37,23.44
g2_extrap_projection_5z,F,avqz,5,N/A,N/A,162,50.00,34.60
g2_extrap_projection_5z,F,avtz,2,N/A,N/A,43,30.70,48.12
g2_extrap_projection_5z,F,pvdz,3,N/A,N/A,17,16.92,22.91
g2_extrap_projection_5z,F,pvqz,6,N/A,N/A,99,51.40,27.36
g2_extrap_projection_5z,F,pvtz,3,N/A,N/A,38,34.01,24.25
g2_extrap_projection_5z,F2,avdz,17,N/A,N/A,77,74.36,15.57
g2_extrap_projection_5z,F2,avqz,87,N/A,N/A,993,543.00,141.36
g2_extrap_projection_5z,F2,avtz,18,N/A,N/A,182,135.80,29.63
g2_extrap_projection_5z,F2,pvdz,43,N/A,N/A,66,65.67,17.40
g2_extrap_projection_5z,F2,pvqz,49,N/A,N/A,540,348.00,42.09
g2_extrap_projection_5z,F2,pvtz,26,N/A,N/A,171,155.10,18.74
g2_extrap_projection_5z,FCl,avdz,24,N/A,N/A,186,179.21,16.62
g2_extrap_projection_5z,H,avdz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,H,avqz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,H,avtz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,H,pvdz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,H,pvqz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,H,pvtz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,H2O,avdz,11,N/A,N/A,63,61.23,13.46
g2_extrap_projection_5z,H2O,avqz,97,N/A,N/A,1233,630.00,57.39
g2_extrap_projection_5z,H2O,avtz,22,N/A,N/A,271,218.00,25.17
g2_extrap_projection_5z,H2O,pvdz,63,N/A,N/A,46,45.79,16.77
g2_extrap_projection_5z,H2O,pvqz,70,N/A,N/A,695,400.00,34.16
g2_extrap_projection_5z,H2O,pvtz,45,N/A,N/A,290,204.00,19.06
g2_extrap_projection_5z,H2O2,avdz,51,N/A,N/A,194,183.70,18.96
g2_extrap_projection_5z,H2O2,avqz,692,N/A,N/A,5514,2735.00,425.94
g2_extrap_projection_5z,H2O2,avtz,119,N/A,N/A,1372,1102.00,61.41
g2_extrap_projection_5z,H2O2,pvdz,309,N/A,N/A,134,132.77,16.41
g2_extrap_projection_5z,H2O2,pvqz,392,N/A,N/A,3653,1941.00,177.89
g2_extrap_projection_5z,H2O2,pvtz,184,N/A,N/A,955,679.00,73.79
g2_extrap_projection_5z,H2S,avdz,26,N/A,N/A,132,118.40,13.22
g2_extrap_projection_5z,HCl,avdz,10,N/A,N/A,72,70.13,13.01
g2_extrap_projection_5z,HF,avdz,4,N/A,N/A,33,32.33,13.08
g2_extrap_projection_5z,HF,avqz,41,N/A,N/A,391,222.00,37.04
g2_extrap_projection_5z,HF,avtz,8,N/A,N/A,68,53.00,15.89
g2_extrap_projection_5z,HF,pvdz,21,N/A,N/A,31,30.92,13.30
g2_extrap_projection_5z,HF,pvqz,21,N/A,N/A,285,180.00,18.81
g2_extrap_projection_5z,HF,pvtz,14,N/A,N/A,100,82.90,14.49
g2_extrap_projection_5z,HO,avdz,7,N/A,N/A,35,32.40,24.29
g2_extrap_projection_5z,HO,avqz,42,N/A,N/A,1014,318.00,90.02
g2_extrap_projection_5z,HO,avtz,8,N/A,N/A,121,56.00,28.18
g2_extrap_projection_5z,HO,pvdz,20,N/A,N/A,31,30.67,31.55
g2_extrap_projection_5z,HO,pvqz,22,N/A,N/A,611,192.00,38.71
g2_extrap_projection_5z,HO,pvtz,13,N/A,N/A,151,83.00,28.17
g2_extrap_projection_5z,HOCl,avdz,53,N/A,N/A,286,272.30,18.73
g2_extrap_projection_5z,Li,avdz,1,N/A,N/A,6,6.00,22.65
g2_extrap_projection_5z,Li,avqz,5,N/A,N/A,37,36.78,22.56
g2_extrap_projection_5z,Li,avtz,3,N/A,N/A,16,15.95,22.99
g2_extrap_projection_5z,Li,pvdz,2,N/A,N/A,5,5.00,22.02
g2_extrap_projection_5z,Li,pvqz,7,N/A,N/A,22,21.93,23.01
g2_extrap_projection_5z,Li,pvtz,5,N/A,N/A,8,8.00,23.64
g2_extrap_projection_5z,Li2,avdz,4,N/A,N/A,77,74.40,12.51
g2_extrap_projection_5z,Li2,avqz,75,N/A,N/A,708,258.00,20.04
g2_extrap_projection_5z,Li2,avtz,11,N/A,N/A,155,110.60,20.57
g2_extrap_projection_5z,Li2,pvdz,14,N/A,N/A,67,66.92,12.86
g2_extrap_projection_5z,Li2,pvqz,27,N/A,N/A,343,206.00,13.61
g2_extrap_projection_5z,Li2,pvtz,10,N/A,N/A,156,147.32,12.49
g2_extrap_projection_5z,LiF,avdz,7,N/A,N/A,117,114.36,17.38
g2_extrap_projection_5z,LiF,avqz,91,N/A,N/A,1239,733.00,136.21
g2_extrap_projection_5z,LiF,avtz,15,N/A,N/A,292,246.20,36.96
g2_extrap_projection_5z,LiF,pvdz,36,N/A,N/A,120,119.81,17.79
g2_extrap_projection_5z,LiF,pvqz,42,N/A,N/A,567,401.00,34.78
g2_extrap_projection_5z,LiF,pvtz,19,N/A,N/A,216,203.50,14.43
g2_extrap_projection_5z,LiH,avdz,3,N/A,N/A,37,36.34,12.34
g2_extrap_projection_5z,LiH,avqz,25,N/A,N/A,366,183.00,17.79
g2_extrap_projection_5z,LiH,avtz,6,N/A,N/A,83,66.20,16.37
g2_extrap_projection_5z,LiH,pvdz,13,N/A,N/A,34,33.97,12.48
g2_extrap_projection_5z,LiH,pvqz,16,N/A,N/A,165,100.00,13.84
g2_extrap_projection_5z,LiH,pvtz,8,N/A,N/A,89,76.20,13.28
g2_extrap_projection_5z,N,avdz,3,N/A,N/A,20,19.55,22.94
g2_extrap_projection_5z,N,avqz,5,N/A,N/A,172,83.00,29.60
g2_extrap_projection_5z,N,avtz,2,N/A,N/A,42,33.14,41.86
g2_extrap_projection_5z,N,pvdz,5,N/A,N/A,20,19.54,26.62
g2_extrap_projection_5z,N,pvqz,6,N/A,N/A,97,61.10,26.52
g2_extrap_projection_5z,N,pvtz,4,N/A,N/A,39,36.06,23.80
g2_extrap_projection_5z,N2,avdz,10,N/A,N/A,87,84.43,14.38
g2_extrap_projection_5z,N2,avqz,62,N/A,N/A,1000,556.00,70.33
g2_extrap_projection_5z,N2,avtz,18,N/A,N/A,325,265.80,16.27
g2_extrap_projection_5z,N2,pvdz,62,N/A,N/A,90,87.42,16.76
g2_extrap_projection_5z,N2,pvqz,52,N/A,N/A,594,405.00,25.88
g2_extrap_projection_5z,N2,pvtz,25,N/A,N/A,183,166.30,15.66
g2_extrap_projection_5z,N2H4,avdz,158,N/A,N/A,402,373.80,26.97
g2_extrap_projection_5z,N2H4,avqz,2517,N/A,N/A,22871,11651.00,909.93
g2_extrap_projection_5z,N2H4,avtz,410,N/A,N/A,2195,1414.00,93.69
g2_extrap_projection_5z,N2H4,pvdz,1095,N/A,N/A,432,419.50,16.59
g2_extrap_projection_5z,N2H4,pvqz,1461,N/A,N/A,9223,4543.00,340.23
g2_extrap_projection_5z,N2H4,pvtz,767,N/A,N/A,3452,2026.00,171.50
g2_extrap_projection_5z,NH,avdz,7,N/A,N/A,45,42.08,24.28
g2_extrap_projection_5z,NH,avqz,27,N/A,N/A,988,299.00,71.81
g2_extrap_projection_5z,NH,avtz,7,N/A,N/A,118,58.00,28.04
g2_extrap_projection_5z,NH,pvdz,21,N/A,N/A,34,32.50,27.28
g2_extrap_projection_5z,NH,pvqz,23,N/A,N/A,621,196.00,37.43
g2_extrap_projection_5z,NH,pvtz,12,N/A,N/A,151,84.00,27.67
g2_extrap_projection_5z,NH2,avdz,11,N/A,N/A,70,62.96,25.48
g2_extrap_projection_5z,NH2,avqz,95,N/A,N/A,3493,943.00,154.27
g2_extrap_projection_5z,NH2,avtz,35,N/A,N/A,347,157.00,52.24
g2_extrap_projection_5z,NH2,pvdz,65,N/A,N/A,66,62.69,28.41
g2_extrap_projection_5z,NH2,pvqz,69,N/A,N/A,1584,425.00,75.63
g2_extrap_projection_5z,NH2,pvtz,44,N/A,N/A,586,234.00,38.21
g2_extrap_projection_5z,NH3,avdz,45,N/A,N/A,126,121.30,14.06
g2_extrap_projection_5z,NH3,avqz,570,N/A,N/A,3724,1895.00,96.32
g2_extrap_projection_5z,NH3,avtz,60,N/A,N/A,434,317.00,18.99
g2_extrap_projection_5z,NH3,pvdz,117,N/A,N/A,81,79.70,16.51
g2_extrap_projection_5z,NH3,pvqz,222,N/A,N/A,1607,837.00,49.45
g2_extrap_projection_5z,NH3,pvtz,134,N/A,N/A,787,510.00,34.50
g2_extrap_projection_5z,NO,avdz,10,N/A,N/A,94,83.60,29.13
g2_extrap_projection_5z,NO,avqz,105,N/A,N/A,2634,836.00,276.82
g2_extrap_projection_5z,NO,avtz,18,N/A,N/A,493,282.00,62.72
g2_extrap_projection_5z,NO,pvdz,60,N/A,N/A,82,77.73,50.64
g2_extrap_projection_5z,NO,pvqz,53,N/A,N/A,1187,414.00,109.13
g2_extrap_projection_5z,NO,pvtz,26,N/A,N/A,239,176.00,37.71
g2_extrap_projection_5z,Na,avdz,13,N/A,N/A,47,41.83,25.80
g2_extrap_projection_5z,Na2,avdz,130,N/A,N/A,235,218.90,28.49
g2_extrap_projection_5z,NaCl,avdz,64,N/A,N/A,204,187.10,21.58
g2_extrap_projection_5z,O,avdz,3,N/A,N/A,19,18.39,23.64
g2_extrap_projection_5z,O,avqz,4,N/A,N/A,162,51.00,34.56
g2_extrap_projection_5z,O,avtz,2,N/A,N/A,47,34.60,26.25
g2_extrap_projection_5z,O,pvdz,5,N/A,N/A,17,16.92,22.34
g2_extrap_projection_5z,O,pvqz,6,N/A,N/A,99,52.20,27.25
g2_extrap_projection_5z,O,pvtz,4,N/A,N/A,43,39.07,23.70
g2_extrap_projection_5z,O2,avdz,10,N/A,N/A,88,77.60,31.62
g2_extrap_projection_5z,O2,avqz,114,N/A,N/A,3191,1140.00,361.02
g2_extrap_projection_5z,O2,avtz,19,N/A,N/A,370,183.00,44.26
g2_extrap_projection_5z,O2,pvdz,57,N/A,N/A,89,87.68,29.21
g2_extrap_projection_5z,O2,pvqz,54,N/A,N/A,1726,617.00,130.81
g2_extrap_projection_5z,O2,pvtz,26,N/A,N/A,223,160.00,42.57
g2_extrap_projection_5z,O2S,avdz,102,N/A,N/A,515,483.00,25.32
g2_extrap_projection_5z,O2_old,avdz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,O2_old,avqz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,O2_old,avtz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,O2_old,pvdz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,O2_old,pvqz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,O2_old,pvtz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,OCl,avdz,23,N/A,N/A,200,172.10,33.26
g2_extrap_projection_5z,OS,avdz,23,N/A,N/A,206,178.80,33.45
g2_extrap_projection_5z,P,avdz,3,N/A,N/A,46,44.36,24.19
g2_extrap_projection_5z,P2,avdz,28,N/A,N/A,223,214.30,15.15
g2_extrap_projection_5z,PH2,avdz,26,N/A,N/A,135,115.50,26.04
g2_extrap_projection_5z,PH3,avdz,57,N/A,N/A,198,187.80,13.50
g2_extrap_projection_5z,S,avdz,6,N/A,N/A,45,42.77,25.58
g2_extrap_projection_5z,S2,avdz,25,N/A,N/A,247,212.20,32.87
g2_extrap_projection_5z,Si,avdz,4,N/A,N/A,46,44.36,23.62
g2_extrap_projection_5z,Si2,avdz,25,N/A,N/A,231,195.70,27.88
g2_extrap_projection_5z,Si2H6,avdz,1034,N/A,N/A,1594,1420.00,36.71
g2_extrap_projection_5z,SiH2,avdz,25,N/A,N/A,129,124.17,13.30
g2_extrap_projection_5z,SiH2_triplet,avdz,25,N/A,N/A,148,122.50,25.37
g2_extrap_projection_5z,SiH3,avdz,58,N/A,N/A,233,191.90,26.83
g2_extrap_projection_5z,SiH4,avdz,119,N/A,N/A,313,284.20,14.87
g2_extrap_projection_5z,SiO,avdz,23,N/A,N/A,186,179.29,14.64
g2_extrap_projection_5z,old_Si2,avdz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,old_Si2,avqz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,old_Si2,avtz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,old_Si2,pvdz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,old_Si2,pvqz,N/A,N/A,N/A,N/A,N/A,N/A
g2_extrap_projection_5z,old_Si2,pvtz,N/A,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,Be,av5z,8,10.27,2.56,N/A,N/A,N/A
g2_largebasis_rhf,Be,av6z,12,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,Be,avdz,31,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,Be,avqz,13,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,Be,avtz,2,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,Be,pvdz,3,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,Be,pvqz,4,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,Be,pvtz,2,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,BeH,av5z,40,19.98,4.28,N/A,N/A,N/A
g2_largebasis_rhf,BeH,av6z,240,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,BeH,avdz,2,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,BeH,avqz,51,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,BeH,avtz,2,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,BeH,pvdz,1,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,BeH,pvqz,21,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,BeH,pvtz,5,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C,av5z,7,16.52,7.87,N/A,N/A,N/A
g2_largebasis_rhf,C,av6z,24,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C,avdz,31,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C,avqz,11,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C,avtz,1,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C,pvdz,2,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C,pvqz,4,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C,pvtz,3,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H2,av5z,257,74.14,104.48,N/A,N/A,N/A
g2_largebasis_rhf,C2H2,av6z,2270,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H2,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H2,avqz,800,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H2,avtz,5,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H2,pvdz,2,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H2,pvqz,203,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H2,pvtz,49,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H4,av5z,1324,101.69,143.98,N/A,N/A,N/A
g2_largebasis_rhf,C2H4,av6z,8678,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H4,avdz,5,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H4,avqz,3188,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H4,avtz,14,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H4,pvdz,3,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H4,pvqz,796,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H4,pvtz,269,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H6,av5z,2473,134.13,196.58,N/A,N/A,N/A
g2_largebasis_rhf,C2H6,av6z,72063,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H6,avdz,6,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H6,avqz,13898,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H6,avtz,32,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H6,pvdz,6,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H6,pvqz,3499,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,C2H6,pvtz,1563,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,CH,av5z,40,27.42,19.55,N/A,N/A,N/A
g2_largebasis_rhf,CH,av6z,240,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,CH,avdz,2,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,CH,avqz,55,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,CH,avtz,2,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,CH,pvdz,1,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,CH,pvqz,17,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,CH,pvtz,6,N/A,N/A,N/A,N/A,N/A
g2_largebasis_rhf,CH2,av5z,174,36.26,26.88,N/A,N/A,N/A
