basis,n_species,MAE_kcal_mol,RMSE_kcal_mol,abs_MaxE_kcal_mol
aug-cc-pV(D+d)Z_svd_proj,55,2.946779091027702,3.8104941328497985,12.839443515900513
aug-cc-pV(T+d)Z_svd_proj,55,0.8646907884433643,1.2049258904036322,4.484558266376098
aug-cc-pV(Q+d)Z_svd_proj,48,0.4675481980581169,0.639480340696714,2.211736822126497
aug-ano-pV(D+d)Z_svd_proj,55,3.559030598029902,4.31219067117381,13.398104428122224
aug-ano-pV(T+d)Z_svd_proj,55,0.5964841502507808,1.0010541331260618,5.050743786493726
aug-ano-pV(Q+d)Z_svd_proj,45,0.4830575255890349,0.6248543875430982,1.791918702500027
