basis,n_species,MAE_kcal_mol,RMSE_kcal_mol,abs_MaxE_kcal_mol
NacV-aug-ano-pV(D+d)Z,55,6.018317633280976,6.895221861656825,16.88808492067602
NacV-aug-ano-pV(T+d)Z,55,0.8135787523403412,1.132795160231213,4.231597924748783
NacV-aug-ano-pV(Q+d)Z,55,0.5940825291224608,0.771324414949435,2.44392679362187
NacV-aug-ano-pV(5+d)Z,50,0.5528799543735436,0.7315498209104905,2.1978636006410284
NacV-aug-cc-pV(D+d)Z,53,7.590716325856364,8.995605537801865,25.452370099279733
NacV-aug-cc-pV(T+d)Z,55,0.8079874122502306,1.1583501180285696,4.346748329112799
NacV-aug-cc-pV(Q+d)Z,55,0.6261746528182791,0.8805744469675342,3.3328262808874456
NacV-aug-cc-pV(5+d)Z,37,0.5819361256143493,0.6947154118877257,1.5170977113913011
